time,temperature_2m_max,precipitation_sum
2023-01-01,16.4,10.0
2023-01-02,14.0,1.9
2023-01-03,14.3,5.7
2023-01-04,15.6,19.8
2023-01-05,15.7,30.3
2023-01-06,15.7,0.0
2023-01-07,18.4,0.0
2023-01-08,16.6,1.0
2023-01-09,14.8,37.6
2023-01-10,15.3,73.6
2023-01-11,16.2,0.0
2023-01-12,19.5,0.0
2023-01-13,17.9,0.0
2023-01-14,12.1,40.2
2023-01-15,13.8,6.4
2023-01-16,15.4,11.9
2023-01-17,14.6,0.0
2023-01-18,14.7,0.0
2023-01-19,14.5,0.3
2023-01-20,14.4,0.0
2023-01-21,15.8,0.0
2023-01-22,16.5,0.0
2023-01-23,16.9,0.0
2023-01-24,17.5,0.0
2023-01-25,19.7,0.0
2023-01-26,19.0,0.0
2023-01-27,18.2,0.0
2023-01-28,16.6,0.0
2023-01-29,13.4,4.6
2023-01-30,12.1,15.5
2023-01-31,17.4,0.0
2023-02-01,17.8,0.0
2023-02-02,18.3,0.0
2023-02-03,20.3,0.0
2023-02-04,20.9,0.0
2023-02-05,18.2,0.0
2023-02-06,20.4,0.0
2023-02-07,20.4,0.0
2023-02-08,21.6,0.0
2023-02-09,25.0,0.0
2023-02-10,24.4,0.0
2023-02-11,16.4,0.1
2023-02-12,14.9,0.0
2023-02-13,16.5,0.2
2023-02-14,15.2,1.4
2023-02-15,17.0,0.0
2023-02-16,17.4,0.0
2023-02-17,19.6,0.0
2023-02-18,20.6,0.0
2023-02-19,20.0,0.0
2023-02-20,24.3,0.0
2023-02-21,18.6,0.5
2023-02-22,13.8,0.2
2023-02-23,10.8,12.2
2023-02-24,11.6,35.7
2023-02-25,11.7,55.9
2023-02-26,12.1,1.0
2023-02-27,10.6,11.1
2023-02-28,13.5,8.5
2023-03-01,11.1,10.9
2023-03-02,15.1,0.0
2023-03-03,16.3,0.0
2023-03-04,14.8,1.4
2023-03-05,13.8,1.8
2023-03-06,14.3,0.5
2023-03-07,15.9,0.0
2023-03-08,15.2,0.0
2023-03-09,18.5,0.0
2023-03-10,13.9,20.3
2023-03-11,16.6,5.4
2023-03-12,18.0,0.4
2023-03-13,19.4,0.0
2023-03-14,15.1,32.4
2023-03-15,16.5,39.2
2023-03-16,17.0,0.9
2023-03-17,19.5,0.0
2023-03-18,23.4,0.0
2023-03-19,16.2,3.8
2023-03-20,15.2,2.1
2023-03-21,15.3,39.6
2023-03-22,13.6,19.0
2023-03-23,15.2,1.6
2023-03-24,17.6,0.0
2023-03-25,17.4,0.0
2023-03-26,18.5,0.0
2023-03-27,20.9,0.0
2023-03-28,20.5,0.0
2023-03-29,14.9,20.6
2023-03-30,13.8,4.3
2023-03-31,16.8,0.0
2023-04-01,19.8,0.0
2023-04-02,17.9,0.0
2023-04-03,15.6,0.2
2023-04-04,16.1,0.0
2023-04-05,19.3,0.0
2023-04-06,21.8,0.0
2023-04-07,20.6,0.0
2023-04-08,20.4,0.0
2023-04-09,23.0,0.0
2023-04-10,24.0,0.0
2023-04-11,20.9,0.0
2023-04-12,21.3,0.1
2023-04-13,16.8,2.7
2023-04-14,17.8,1.0
2023-04-15,21.4,0.0
2023-04-16,21.0,0.0
2023-04-17,20.8,0.0
2023-04-18,20.0,0.3
2023-04-19,23.3,0.0
2023-04-20,27.1,0.0
2023-04-21,32.2,0.0
2023-04-22,30.7,0.0
2023-04-23,26.1,0.0
2023-04-24,22.8,0.0
2023-04-25,23.5,0.0
2023-04-26,26.0,0.0
2023-04-27,23.8,0.0
2023-04-28,24.2,0.0
2023-04-29,24.6,0.0
2023-04-30,22.4,0.0
2023-05-01,18.9,0.4
2023-05-02,17.5,1.1
2023-05-03,19.3,0.6
2023-05-04,17.0,13.1
2023-05-05,18.6,3.1
2023-05-06,19.4,0.0
2023-05-07,22.0,0.0
2023-05-08,22.5,0.0
2023-05-09,22.7,0.6
2023-05-10,22.8,0.0
2023-05-11,22.0,0.0
2023-05-12,24.9,0.0
2023-05-13,27.2,0.0
2023-05-14,28.4,0.0
2023-05-15,24.6,0.0
2023-05-16,23.2,0.0
2023-05-17,24.5,0.0
2023-05-18,24.9,0.0
2023-05-19,24.0,0.2
2023-05-20,24.8,0.0
2023-05-21,26.1,0.0
2023-05-22,25.2,0.0
2023-05-23,22.1,0.1
2023-05-24,21.9,0.3
2023-05-25,21.8,0.0
2023-05-26,20.2,3.0
2023-05-27,21.0,0.0
2023-05-28,21.8,0.0
2023-05-29,21.6,0.7
2023-05-30,20.3,0.2
2023-05-31,20.1,1.1
2023-06-01,20.5,0.5
2023-06-02,22.6,0.0
2023-06-03,24.2,0.0
2023-06-04,23.9,0.0
2023-06-05,21.2,0.6
2023-06-06,22.4,0.4
2023-06-07,21.0,0.7
2023-06-08,23.6,0.0
2023-06-09,22.9,0.0
2023-06-10,21.7,0.0
2023-06-11,21.5,1.2
2023-06-12,21.4,1.0
2023-06-13,22.8,0.0
2023-06-14,23.3,0.0
2023-06-15,22.8,0.4
2023-06-16,25.7,0.0
2023-06-17,27.4,0.0
2023-06-18,25.5,0.0
2023-06-19,25.0,0.0
2023-06-20,26.2,0.0
2023-06-21,27.5,0.0
2023-06-22,23.9,0.0
2023-06-23,24.0,0.0
2023-06-24,25.7,0.0
2023-06-25,24.4,0.0
2023-06-26,26.0,0.0
2023-06-27,26.5,0.0
2023-06-28,25.0,0.0
2023-06-29,26.8,0.0
2023-06-30,28.9,0.0
2023-07-01,29.6,0.0
2023-07-02,30.4,0.0
2023-07-03,30.1,0.0
2023-07-04,26.9,0.0
2023-07-05,26.0,0.0
2023-07-06,25.9,0.0
2023-07-07,26.9,0.0
2023-07-08,27.2,0.0
2023-07-09,26.5,0.0
2023-07-10,30.5,0.0
2023-07-11,32.0,0.0
2023-07-12,33.5,0.0
2023-07-13,33.7,0.0
2023-07-14,34.5,0.0
2023-07-15,32.7,0.0
2023-07-16,33.2,0.0
2023-07-17,31.7,0.0
2023-07-18,32.2,0.0
2023-07-19,33.5,0.0
2023-07-20,34.3,0.0
2023-07-21,32.9,0.0
2023-07-22,33.0,0.0
2023-07-23,34.0,0.0
2023-07-24,33.3,0.0
2023-07-25,36.0,0.0
2023-07-26,36.2,0.0
2023-07-27,36.1,0.0
2023-07-28,33.6,0.0
2023-07-29,35.0,0.0
2023-07-30,33.8,0.0
2023-07-31,36.3,0.0
2023-08-01,33.4,0.0
2023-08-02,32.2,0.0
2023-08-03,30.5,0.0
2023-08-04,30.2,0.0
2023-08-05,33.4,0.0
2023-08-06,34.8,0.0
2023-08-07,33.5,0.0
2023-08-08,31.0,0.0
2023-08-09,29.0,1.0
2023-08-10,27.4,4.8
2023-08-11,27.3,0.0
2023-08-12,29.1,0.0
2023-08-13,28.9,0.0
2023-08-14,29.0,0.0
2023-08-15,31.4,0.0
2023-08-16,34.4,0.2
2023-08-17,32.3,0.0
2023-08-18,31.6,0.0
2023-08-19,27.8,5.2
2023-08-20,26.0,59.3
2023-08-21,25.3,15.5
2023-08-22,26.9,0.0
2023-08-23,27.5,0.0
2023-08-24,25.5,0.0
2023-08-25,26.0,0.0
2023-08-26,28.5,0.0
2023-08-27,31.1,0.0
2023-08-28,34.8,0.0
2023-08-29,35.0,0.0
2023-08-30,36.1,0.0
2023-08-31,29.4,0.0
2023-09-01,28.7,2.2
2023-09-02,25.2,31.2
2023-09-03,25.8,3.4
2023-09-04,27.1,0.0
2023-09-05,25.6,0.0
2023-09-06,27.5,0.1
2023-09-07,29.0,0.0
2023-09-08,34.8,0.0
2023-09-09,34.7,0.0
2023-09-10,33.9,3.4
2023-09-11,33.0,0.0
2023-09-12,30.8,0.0
2023-09-13,27.5,0.0
2023-09-14,27.0,0.0
2023-09-15,26.8,0.0
2023-09-16,25.8,0.0
2023-09-17,25.3,0.7
2023-09-18,25.8,0.0
2023-09-19,27.1,0.0
2023-09-20,25.3,0.0
2023-09-21,22.9,0.3
2023-09-22,26.2,0.0
2023-09-23,26.0,0.0
2023-09-24,27.1,0.0
2023-09-25,28.1,0.0
2023-09-26,29.0,0.0
2023-09-27,30.5,0.0
2023-09-28,26.9,0.2
2023-09-29,25.9,0.0
2023-09-30,22.2,8.7
2023-10-01,20.8,0.8
2023-10-02,23.2,0.0
2023-10-03,28.5,0.0
2023-10-04,32.7,0.0
2023-10-05,35.8,0.0
2023-10-06,35.7,0.0
2023-10-07,33.8,0.0
2023-10-08,32.7,0.0
2023-10-09,27.9,0.0
2023-10-10,25.9,0.0
2023-10-11,27.4,0.0
2023-10-12,28.1,0.0
2023-10-13,28.4,0.0
2023-10-14,28.6,0.0
2023-10-15,33.2,0.0
2023-10-16,30.9,0.0
2023-10-17,29.9,0.0
2023-10-18,31.7,0.0
2023-10-19,33.0,0.0
2023-10-20,32.4,0.0
2023-10-21,30.2,0.0
2023-10-22,24.4,0.3
2023-10-23,24.8,0.1
2023-10-24,25.2,0.0
2023-10-25,22.6,1.1
2023-10-26,23.7,0.0
2023-10-27,24.5,0.0
2023-10-28,23.2,0.0
2023-10-29,27.2,0.0
2023-10-30,26.9,0.0
2023-10-31,29.0,0.0
2023-11-01,30.3,0.0
2023-11-02,30.9,0.0
2023-11-03,29.6,0.0
2023-11-04,28.9,0.0
2023-11-05,28.0,0.0
2023-11-06,25.5,0.0
2023-11-07,22.5,0.2
2023-11-08,25.9,0.0
2023-11-09,25.8,0.0
2023-11-10,25.4,0.0
2023-11-11,27.4,0.0
2023-11-12,29.6,0.0
2023-11-13,25.9,0.0
2023-11-14,27.3,0.0
2023-11-15,22.9,19.6
2023-11-16,21.5,0.3
2023-11-17,23.1,0.3
2023-11-18,20.5,6.8
2023-11-19,19.2,0.8
2023-11-20,21.6,0.0
2023-11-21,24.9,0.0
2023-11-22,26.2,0.0
2023-11-23,21.6,0.0
2023-11-24,19.7,0.2
2023-11-25,20.0,0.0
2023-11-26,20.2,0.0
2023-11-27,22.5,0.0
2023-11-28,22.8,0.0
2023-11-29,19.0,0.1
2023-11-30,19.4,0.0
2023-12-01,20.4,0.0
2023-12-02,20.0,0.0
2023-12-03,20.4,0.0
2023-12-04,25.2,0.0
2023-12-05,27.5,0.0
2023-12-06,24.2,0.0
2023-12-07,22.0,0.0
2023-12-08,20.0,0.0
2023-12-09,22.2,0.0
2023-12-10,24.0,0.0
2023-12-11,23.0,0.0
2023-12-12,20.9,0.0
2023-12-13,20.6,0.0
2023-12-14,23.4,0.0
2023-12-15,25.0,0.0
2023-12-16,26.5,0.0
2023-12-17,25.1,0.0
2023-12-18,23.1,4.7
2023-12-19,20.8,4.6
2023-12-20,16.0,81.2
2023-12-21,16.4,57.3
2023-12-22,17.5,17.1
2023-12-23,17.9,0.2
2023-12-24,17.8,0.0
2023-12-25,18.4,0.0
2023-12-26,18.1,0.0
2023-12-27,17.4,0.0
2023-12-28,17.5,0.0
2023-12-29,17.9,0.0
2023-12-30,15.6,13.4
2023-12-31,15.7,0.3
